,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Trimestre (Código),Trimestre,Variável (Código),Variável,Setores e subsetores (Código),Setores e subsetores
1,1,Brasil,30,Número-índice,95.31,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
2,1,Brasil,30,Número-índice,101.23,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
3,1,Brasil,30,Número-índice,101.99,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
4,1,Brasil,30,Número-índice,99.41,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
5,1,Brasil,30,Número-índice,98.05,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
6,1,Brasil,30,Número-índice,99.16,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
7,1,Brasil,30,Número-índice,96.84,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
8,1,Brasil,30,Número-índice,98.77,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
9,1,Brasil,30,Número-índice,92.66,1,Brasil,199601,1º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
10,1,Brasil,30,Número-índice,96.58,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
11,1,Brasil,30,Número-índice,97.05,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
12,1,Brasil,30,Número-índice,102.26,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
13,1,Brasil,30,Número-índice,100.65,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
14,1,Brasil,30,Número-índice,100.91,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
15,1,Brasil,30,Número-índice,100.76,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
16,1,Brasil,30,Número-índice,98.72,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
17,1,Brasil,30,Número-índice,96.05,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
18,1,Brasil,30,Número-índice,100.18,1,Brasil,199602,2º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
19,1,Brasil,30,Número-índice,101.79,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
20,1,Brasil,30,Número-índice,106.07,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
21,1,Brasil,30,Número-índice,103.55,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
22,1,Brasil,30,Número-índice,104.15,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
23,1,Brasil,30,Número-índice,103.65,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
24,1,Brasil,30,Número-índice,104.27,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
25,1,Brasil,30,Número-índice,102.41,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
26,1,Brasil,30,Número-índice,95.71,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
27,1,Brasil,30,Número-índice,107.63,1,Brasil,199603,3º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
28,1,Brasil,30,Número-índice,125.63,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
29,1,Brasil,30,Número-índice,99.61,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
30,1,Brasil,30,Número-índice,101.42,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
31,1,Brasil,30,Número-índice,103.38,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
32,1,Brasil,30,Número-índice,109.20,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
33,1,Brasil,30,Número-índice,88.51,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
34,1,Brasil,30,Número-índice,106.77,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
35,1,Brasil,30,Número-índice,100.60,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
36,1,Brasil,30,Número-índice,119.30,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
37,1,Brasil,30,Número-índice,101.94,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
38,1,Brasil,30,Número-índice,104.18,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
39,1,Brasil,30,Número-índice,103.91,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
40,1,Brasil,30,Número-índice,104.41,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
41,1,Brasil,30,Número-índice,106.95,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
42,1,Brasil,30,Número-índice,100.33,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
43,1,Brasil,30,Número-índice,107.68,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
