Date,Concessões de crédito - Total,Concessões de crédito - PJ,Concessões de crédito - PF,Concessões de crédito - Livre,Concessões de crédito - Direcionado,Saldo da carteira de crédito - Total,PIB acumulado dos últimos 12 meses,Saldos de crédito - Privado,Saldos de crédito - Público,Taxa média de juros das operações de crédito,Spread médio das operações de crédito,Inadimplência da carteira de crédito
2012-01-01,214365.0,116230.0,98134.0,192708.0,21656.0,2033185.0,4412981.7,1144812.0,888373.0,26.8,18.22,3.66
2012-02-01,204149.0,111611.0,92539.0,182427.0,21723.0,2041040.0,4448184.5,1146273.0,894768.0,26.86,18.63,3.71
2012-03-01,241689.0,139145.0,102544.0,215826.0,25863.0,2078912.0,4489325.6,1163169.0,915743.0,26.54,18.41,3.67
2012-04-01,232678.0,131809.0,100869.0,207523.0,25155.0,2106585.0,4520587.8,1172206.0,934379.0,25.96,18.21,3.76
2012-05-01,255850.0,145295.0,110556.0,226037.0,29814.0,2142061.0,4554177.4,1183595.0,958466.0,24.36,16.96,3.76
2012-06-01,244247.0,141554.0,102693.0,214348.0,29899.0,2175135.0,4585739.0,1190984.0,984151.0,23.62,16.34,3.71
2012-07-01,242241.0,138465.0,103776.0,210938.0,31303.0,2192888.0,4627426.9,1192754.0,1000134.0,23.03,16.12,3.72
2012-08-01,254479.0,144480.0,109999.0,215755.0,38724.0,2219866.0,4671291.7,1199805.0,1020061.0,22.54,15.69,3.75
2012-09-01,235073.0,135395.0,99678.0,199684.0,35389.0,2244474.0,4703853.6,1204080.0,1040394.0,22.3,15.52,3.72
2012-10-01,272112.0,153143.0,118968.0,231345.0,40766.0,2276286.0,4751483.1,1208747.0,1067539.0,21.72,15.14,3.76
2012-11-01,255426.0,142492.0,112933.0,219250.0,36176.0,2310841.0,4786545.6,1220277.0,1090564.0,21.47,14.93,3.67
2012-12-01,291095.0,170949.0,120146.0,233730.0,57365.0,2368338.0,4814760.0,1233997.0,1134341.0,20.39,13.95,3.55
2013-01-01,239834.0,127202.0,112632.0,210573.0,29261.0,2366165.0,4859459.1,1225192.0,1140973.0,20.84,14.47,3.54
2013-02-01,226768.0,123975.0,102793.0,196797.0,29971.0,2383597.0,4890027.5,1230754.0,1152844.0,21.18,14.59,3.51
2013-03-01,253830.0,141873.0,111957.0,217079.0,36750.0,2427062.0,4926899.2,1245883.0,1181179.0,20.93,14.21,3.45
2013-04-01,269990.0,146857.0,123133.0,229352.0,40638.0,2449147.0,4987524.1,1246177.0,1202970.0,20.83,14.11,3.47
2013-05-01,285961.0,161430.0,124531.0,240857.0,45104.0,2487294.0,5026997.0,1257811.0,1229483.0,20.57,13.78,3.47
2013-06-01,278819.0,158939.0,119879.0,224480.0,54339.0,2531576.0,5066353.2,1258971.0,1272605.0,20.85,13.34,3.25
2013-07-01,266075.0,139441.0,126634.0,228693.0,37382.0,2545127.0,5109929.7,1258720.0,1286406.0,21.28,13.69,3.21
2013-08-01,272139.0,144479.0,127660.0,227021.0,45118.0,2577874.0,5144959.4,1271045.0,1306830.0,21.46,13.55,3.13
2013-09-01,268855.0,146550.0,122305.0,227163.0,41692.0,2597168.0,5190038.5,1282991.0,1314176.0,21.61,13.53,3.14
2013-10-01,283201.0,152806.0,130395.0,239284.0,43918.0,2604241.0,5234346.7,1283188.0,1321054.0,21.98,13.79,3.06
2013-11-01,272926.0,147856.0,125070.0,230368.0,42557.0,2646873.0,5278071.3,1298747.0,1348126.0,22.21,13.74,2.97
2013-12-01,324165.0,182483.0,141683.0,262220.0,61946.0,2711371.0,5331619.0,1320718.0,1390653.0,21.87,13.28,2.86
2014-01-01,258890.0,134191.0,124700.0,220684.0,38206.0,2713271.0,5376008.7,1309858.0,1403413.0,22.84,13.99,2.84
2014-02-01,261076.0,138129.0,122947.0,221066.0,40010.0,2725652.0,5433417.2,1312158.0,1413494.0,23.38,14.75,2.86
2014-03-01,269914.0,148677.0,121237.0,229414.0,40500.0,2752289.0,5475987.8,1319846.0,1432443.0,23.53,14.72,2.88
2014-04-01,274446.0,147282.0,127163.0,233117.0,41329.0,2771347.0,5509204.3,1321009.0,1450338.0,23.41,14.81,2.92
2014-05-01,281894.0,147222.0,134672.0,239948.0,41946.0,2798015.0,5549143.0,1328915.0,1469100.0,23.59,14.95,3.0
2014-06-01,285440.0,154176.0,131264.0,237567.0,47873.0,2824626.0,5575730.9,1332857.0,1491769.0,23.46,15.02,2.9
2014-07-01,273713.0,138134.0,135579.0,232139.0,41574.0,2830844.0,5610038.6,1328079.0,1502766.0,23.7,15.3,2.96
2014-08-01,271693.0,138502.0,133190.0,225830.0,45862.0,2857674.0,5640035.7,1337682.0,1519991.0,23.61,15.18,2.98
2014-09-01,295760.0,155267.0,140494.0,246191.0,49569.0,2896570.0,5683722.3,1351052.0,1545518.0,23.26,14.84,2.91
