,Unnamed: 0,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,mes,ano,data
69925,1,1,Brasil,2,%,0.21,1,Brasil,202001,janeiro 2020,63,IPCA - Variação mensal,7169,Índice geral,01,2020,2020-01-01
70382,458,1,Brasil,2,%,0.25,1,Brasil,202002,fevereiro 2020,63,IPCA - Variação mensal,7169,Índice geral,02,2020,2020-02-01
70839,915,1,Brasil,2,%,0.07,1,Brasil,202003,março 2020,63,IPCA - Variação mensal,7169,Índice geral,03,2020,2020-03-01
71296,1372,1,Brasil,2,%,-0.31,1,Brasil,202004,abril 2020,63,IPCA - Variação mensal,7169,Índice geral,04,2020,2020-04-01
71753,1829,1,Brasil,2,%,-0.38,1,Brasil,202005,maio 2020,63,IPCA - Variação mensal,7169,Índice geral,05,2020,2020-05-01
72210,2286,1,Brasil,2,%,0.26,1,Brasil,202006,junho 2020,63,IPCA - Variação mensal,7169,Índice geral,06,2020,2020-06-01
72667,2743,1,Brasil,2,%,0.36,1,Brasil,202007,julho 2020,63,IPCA - Variação mensal,7169,Índice geral,07,2020,2020-07-01
73124,3200,1,Brasil,2,%,0.24,1,Brasil,202008,agosto 2020,63,IPCA - Variação mensal,7169,Índice geral,08,2020,2020-08-01
73581,3657,1,Brasil,2,%,0.64,1,Brasil,202009,setembro 2020,63,IPCA - Variação mensal,7169,Índice geral,09,2020,2020-09-01
74038,4114,1,Brasil,2,%,0.86,1,Brasil,202010,outubro 2020,63,IPCA - Variação mensal,7169,Índice geral,10,2020,2020-10-01
74495,4571,1,Brasil,2,%,0.89,1,Brasil,202011,novembro 2020,63,IPCA - Variação mensal,7169,Índice geral,11,2020,2020-11-01
74952,5028,1,Brasil,2,%,1.35,1,Brasil,202012,dezembro 2020,63,IPCA - Variação mensal,7169,Índice geral,12,2020,2020-12-01
75409,5485,1,Brasil,2,%,0.25,1,Brasil,202101,janeiro 2021,63,IPCA - Variação mensal,7169,Índice geral,01,2021,2021-01-01
