data,valor
2020-01,0.21
2020-02,0.25
2020-03,0.07
2020-04,-0.31
2020-05,-0.38
2020-06,0.26
2020-07,0.36
2020-08,0.24
2020-09,0.64
2020-10,0.86
2020-11,0.89
2020-12,1.35
2021-01,0.25
2021-02,0.86
2021-03,0.93
2021-04,0.31
2021-05,0.83
2021-06,0.53
2021-07,0.96
2021-08,0.87
2021-09,1.16
2021-10,1.25
2021-11,0.95
2021-12,0.73
2022-01,0.54
2022-02,1.01
2022-03,1.62
2022-04,1.06
2022-05,0.47
2022-06,0.67
2022-07,-0.68
2022-08,-0.36
2022-09,-0.29
2022-10,0.59
2022-11,0.41
2022-12,0.62
2023-01,0.53
2023-02,0.84
2023-03,0.71
2023-04,0.61
2023-05,0.23
2023-06,-0.08
2023-07,0.12
2023-08,0.23
2023-09,0.26
2023-10,0.24
2023-11,0.28
2023-12,0.56
